Event,Timestamp,x_pos,y_pos,z_pos,resultant_pos
PICKING,1658852985.961056,-0.9902904150753175,-0.03218134616699944,0.2150879192781662,1.0138903087862
PICKING,1658852985.965426,-0.9886544710809312,-0.03218338578214416,0.21839738686032556,1.0130009141635248
PICKING,1658852985.9697964,-0.9869708156858129,-0.03218750822644009,0.22171599695308206,1.0120797448848806
PICKING,1658852985.9741561,-0.9852407733789295,-0.03219297243003429,0.22504420768059372,1.0111284114358463
PICKING,1658852985.978521,-0.9834659827214459,-0.032199261708986564,0.22838062681383325,1.0101484258903455
PICKING,1658852985.9828844,-0.9816482125034807,-0.032205956383051626,0.2317230848421353,1.0091412313381023
PICKING,1658852985.9872286,-0.9797890553278251,-0.032212779492958116,0.23506909922870414,1.008107998934166
PICKING,1658852985.991561,-0.9778898626915115,-0.03221917696877942,0.23841602621082858,1.0070495819340433
PICKING,1658852985.9959252,-0.9759520536853764,-0.032224895134821706,0.24176109920032055,1.0059668404304891
PICKING,1658852986.000293,-0.9739769867507587,-0.03223050436041387,0.24510206596175566,1.004860686299417
PICKING,1658852986.0046608,-0.971965317323162,-0.03223618141366302,0.2484370211633004,1.0037313898427924
PICKING,1658852986.0090246,-0.9699173551483554,-0.03224194403082592,0.2517641280495736,1.0025788721818498
PICKING,1658852986.0133874,-0.9678332654503219,-0.03224777854892567,0.2550815709529929,1.0014028943304591
PICKING,1658852986.0177724,-0.9657131838922126,-0.032253615591277596,0.2583876197228248,1.0002031850019133
PICKING,1658852986.0221388,-0.9635573058656738,-0.032259513502021255,0.2616806263831626,0.9989795333853377
PICKING,1658852986.0270448,-0.9592957521141556,-0.03227354210499974,0.2679972309981744,0.9965502683592813
PICKING,1658852986.0313792,-0.9572301810881493,-0.03228615453793914,0.2709838238839666,0.9953714121711932
PICKING,1658852986.0357127,-0.9551328212997263,-0.03229464061195503,0.27395157390478025,0.994168554612917
PICKING,1658852986.0400784,-0.9529907451964138,-0.03230179825681808,0.276912338397079,0.9929326310264854
PICKING,1658852986.0444388,-0.9508039990598548,-0.032309415292886126,0.2798746854878856,0.9916662656971464
PICKING,1658852986.0487769,-0.9485720700891297,-0.032317228413069006,0.2828406297761172,0.9903697275551337
PICKING,1658852986.0531569,-0.9462948290208416,-0.03232503135907944,0.28580914721878126,0.9890428098509569
PICKING,1658852986.0575266,-0.9439727189877836,-0.03233273653383843,0.2887779146747841,0.9876854681774317
PICKING,1658852986.061894,-0.941606464120464,-0.03233979255537108,0.29174399580838917,0.9862977007710261
PICKING,1658852986.066258,-0.9391972114690561,-0.032346116555951335,0.2947041839311759,0.9848798045010582
PICKING,1658852986.0706022,-0.9367464089884803,-0.0323524657790655,0.2976559620156749,0.9834325541277733
PICKING,1658852986.074964,-0.9342549677084862,-0.03235908624600858,0.30059718362763177,0.9819562729345566
PICKING,1658852986.0792885,-0.9317236518803854,-0.032365709925701404,0.3035259728342124,0.9804511812616024
PICKING,1658852986.083629,-0.9291535911412201,-0.032372198567297006,0.3064406283047677,0.9789178790105566
PICKING,1658852986.0879934,-0.9265460659532584,-0.03237862051014211,0.3093395575099857,0.9773571247195537
PICKING,1658852986.0923548,-0.9239022508460815,-0.03238500538803182,0.3122212680144523,0.975769582377413
PICKING,1658852986.0967171,-0.9212231985616045,-0.03239135423487009,0.3150843923671662,0.9741558169567273
PICKING,1658852986.1010828,-0.9185098100851294,-0.03239768162146666,0.3179276396869325,0.9725162544009074
PICKING,1658852986.1054466,-0.9157628423954072,-0.03240401215750415,0.32074979944684195,0.9708511921819988
PICKING,1658852986.1103425,-0.9103377943657569,-0.032425053490188545,0.32610485330174643,0.9675281180883097
PICKING,1658852986.114725,-0.9077137385848354,-0.03243446420232964,0.32861742354445433,0.9659118162341459
PICKING,1658852986.1190903,-0.9050672475230198,-0.032442009068234585,0.331120730379232,0.9642821913621317
PICKING,1658852986.1234255,-0.9023856285721172,-0.0324481573227712,0.3336167170691564,0.9626280795172869
PICKING,1658852986.1277583,-0.8996659521303544,-0.03245411927598834,0.3361096936536511,0.9609483968707937
PICKING,1658852986.1321342,-0.896907151088451,-0.03245997977767662,0.33859947983369176,0.9592422507919547
PICKING,1658852986.1365025,-0.8941082542413139,-0.0324653553847608,0.3410838944434027,0.9575081162326443
PICKING,1658852986.1408648,-0.8912687349714076,-0.03247034826985045,0.34355995892898544,0.9557445928874433
PICKING,1658852986.1452377,-0.8883885123771247,-0.032474938356557514,0.3460247565831489,0.9539506814890014
PICKING,1658852986.1495998,-0.8854678546282844,-0.03247918012747987,0.3484755911320259,0.9521257565766115
PICKING,1658852986.1539702,-0.8825073220472007,-0.032483169161603445,0.35091004361933514,0.9502695346366875
PICKING,1658852986.158335,-0.8795077569362584,-0.03248647558442507,0.3533258095491177,0.9483819870181452
CONROLLED_SLIP,1658852986.162708,-0.8764704189844721,-0.03248923876744435,0.3557204327183761,0.9464634024851953
CONROLLED_SLIP,1658852988.169214,-0.8452892471974296,-0.03277953867590286,0.37337489991267453,0.9246606001491584
CONROLLED_SLIP,1658852988.1736076,-0.8453038825733569,-0.03277901830729247,0.37333348755884876,0.9246572396664801
CONROLLED_SLIP,1658852988.1779814,-0.8453301844526309,-0.03277852434999178,0.3732703895435981,0.9246557933173357
CONROLLED_SLIP,1658852988.1823545,-0.8453682882513824,-0.03277945254423159,0.37318835007705575,0.924657547378167
CONROLLED_SLIP,1658852988.186735,-0.8454177692657919,-0.03278193808985115,0.37308988568287355,0.9246631402051961
CONROLLED_SLIP,1658852988.191108,-0.8454822958289774,-0.032791492847054834,0.37298028018908735,0.924678259706211
CONROLLED_SLIP,1658852988.1954532,-0.845570316580185,-0.03280872081290337,0.37286381388082546,0.924712385633851
CONROLLED_SLIP,1658852988.1997962,-0.8456827170068155,-0.032831259841341436,0.37273397735299346,0.9247636278207427
CONROLLED_SLIP,1658852988.20417,-0.8458039304532128,-0.03286248567985398,0.3725914888835097,0.9248181709523188
CONROLLED_SLIP,1658852988.208536,-0.8459034653860857,-0.03286905121946927,0.372416511743548,0.924838961927691
CONROLLED_SLIP,1658852988.2129185,-0.8460387998450623,-0.03287179215899926,0.37219762798241096,0.9248747373773115
CONROLLED_SLIP,1658852988.217292,-0.8462263229234702,-0.032872535068891415,0.3719325895585273,0.9249396976809595
CONROLLED_SLIP,1658852988.22166,-0.8464689094578227,-0.032873679922033015,0.3716273955661739,0.9250390341199821
CONROLLED_SLIP,1658852988.226032,-0.8467678480527521,-0.03287724965114141,0.3712787888839527,0.9251727628479164
CONROLLED_SLIP,1658852988.2304115,-0.8471186723644597,-0.03288332911108966,0.37088006904661186,0.9253342012581036
CONROLLED_SLIP,1658852988.2347958,-0.8475153118247035,-0.03289208159975702,0.3704279831622377,0.9255166035890078
CONROLLED_SLIP,1658852988.2396288,-0.848424766994567,-0.03291835933510109,0.3693452344293162,0.9259179800753125
CONROLLED_SLIP,1658852988.2440038,-0.848963172085717,-0.03293042881821878,0.3686807878153972,0.9261470747155532
CONROLLED_SLIP,1658852988.248373,-0.8495105861964174,-0.03294519363321895,0.3679013560072481,0.9263395865422587
CONROLLED_SLIP,1658852988.2527535,-0.850078067231057,-0.03296088172492589,0.36700893180156413,0.9265067167233593
CONROLLED_SLIP,1658852988.257123,-0.8506743968725843,-0.0329761347457036,0.36600572843919166,0.9266577298051343
CONROLLED_SLIP,1658852988.2614992,-0.8512844017975951,-0.03299201265786171,0.3648849938574228,0.9267764910621317
